Target Name, latitude, longitude, count_GT200_soundings, count_all, ratio
v266030_Soputan,1.113,124.734,48.0,109.0,0.44036697247706424
v284040_Miyake-jima_Marianas,34.094,139.526,1.0,20.0,0.05
v360050_Soufriere_Hills_Montserrat,16.72,-62.18,0.0,34.0,0.0
v267020_Karangetan,2.78,125.41,0.0,39.0,0.0
v351050_Nevado_del_Huila,2.917,-76.03399999999999,51.0,71.0,0.7183098591549296
v263350_Kawah_Ijen_Ijen,-8.06,114.24,10.0,13.0,0.7692307692307693
v311290_Okmok,53.43,-168.13,0.0,0.0,0.0
v252010_Langila,-5.53,148.42,4.0,45.0,0.08888888888888889
v351080_Galeras,1.2,-77.39,17.0,34.0,0.5
v360101_Morne_Watt_Dominica_Island,15.31,-61.31,0.0,29.0,0.0
v343020_Santa_Ana,13.853,-89.63,12.0,26.0,0.46153846153846156
v264270_Sirung_Pantar,-8.509004591,124.1274858,2.0,32.0,0.0625
v321050_Mount_St._Helens,46.2,-122.18,7.0,11.0,0.6363636363636364
v283030_Fuji-san,35.36,138.73,0.0,3.0,0.0
v355838_Uturuncu,-22.27,-67.18,133.0,146.0,0.910958904109589
v344020_San_Cristobal,12.702,-87.00399999999999,20.0,28.0,0.7142857142857143
v355100_Lascar,-23.37,-67.73,48.0,54.0,0.8888888888888888
v355120_Lastarria,-25.17,-68.5,76.0,82.0,0.926829268292683
v357061_Laguna_del_Maule,-36.06,-70.49,57.0,74.0,0.7702702702702703
v300070_Gorely,52.56,158.03,0.0,0.0,0.0
v300060_Mutnovsky,52.449,158.196,1.0,1.0,1.0
v282090_Shinmoedake_Kirishimayama,31.911,130.882,1.0,4.0,0.25
v283040_Ontake-san_Nagoya,35.893,137.48,0.0,1.0,0.0
v284010_Izu-Oshima,34.72,139.39,0.0,2.0,0.0
v271011_Parker,6.113,124.892,39.0,89.0,0.43820224719101125
v352010_Reventador,-0.077,-77.656,2.0,6.0,0.3333333333333333
v352006_Cayambe,0.029,-77.986,8.0,12.0,0.6666666666666666
v284120_Ioto_Iwo-Jima,24.75,141.29,0.0,47.0,0.0
v351110_Cerro_Negro_de_Mayasquer,0.8170000000000001,-77.936,0.0,0.0,0.0
v358020_Calbuco,-41.33,-72.61,119.0,180.0,0.6611111111111111
v351040_Cerro_Machin,4.487,-75.389,1.0,4.0,0.25
v358041_Chaiten,-42.833,-72.646,79.0,133.0,0.5939849624060151
v345020_Rincon_de_la_Vieja,10.83,-85.324,2.0,2.0,1.0
