Target Name,latitude,longitude,count_GT200_soundings,count_all,SAM_success_rate
fossil_Hong_Kong_China,22.36472318200003,114.133713499,23.0,68.0,0.3382352941176471
fossil_Los_Angeles_USA,34.05349000000007,-118.24532,142.0,165.0,0.8606060606060606
fossil_Shanghai_China,31.22222000000005,121.45806,62.0,146.0,0.4246575342465753
fossil_Singapore_Singapore,1.464780000000076,103.7571100000001,23.0,151.0,0.152317880794702
fossil_Chicago_USA,41.88425000000007,-87.63244999999995,80.0,169.0,0.47337278106508873
fossil_Tokyo_Japan,35.68945633100003,139.6917160900001,14.0,32.0,0.4375
fossil_Riyadh_Saudi_Arabia,24.68218000000007,46.68719000000004,129.0,144.0,0.8958333333333334
fossil_Dubai_UAE,25.26951000000003,55.30884000000003,119.0,139.0,0.8561151079136691
fossil_Wuxi_China,31.56887000000006,120.28857,37.0,76.0,0.4868421052631579
fossil_Johannesburg_South_Africa,-26.20490999999993,28.04006000000004,31.0,39.0,0.7948717948717948
fossil_Tehran_Iran,35.69439000000006,51.42151000000007,153.0,187.0,0.8181818181818182
fossil_London_UK,51.50642000000005,-0.1272099999999341,34.0,67.0,0.5074626865671642
fossil_Benha_Egypt,30.45906000000008,31.17858000000007,42.0,47.0,0.8936170212765957
fossil_Beijing_China,39.90750000000003,116.39723,66.0,112.0,0.5892857142857143
fossil_Jakarta_Indonesia,-6.171479999999974,106.8264800000001,42.0,157.0,0.267515923566879
fossil_Al-Ahmadi_Kuwait,29.09426000000008,48.07602000000003,38.0,43.0,0.8837209302325582
fossil_Miami_USA,25.77481000000006,-80.19772999999998,100.0,151.0,0.6622516556291391
fossil_Samut_Prakan_Thailand,13.59946800439462,100.5968872263649,48.0,144.0,0.3333333333333333
fossil_Paris_France,48.85717000000005,2.341400000000021,72.0,163.0,0.44171779141104295
fossil_Dallas_USA,32.77815000000004,-96.79539999999997,5.0,12.0,0.4166666666666667
fossil_Tianjin_China,39.14222000000007,117.1766700000001,35.0,65.0,0.5384615384615384
fossil_Istanbul_Turkey,41.01384000000007,28.94966000000005,118.0,200.0,0.59
fossil_Detroit_USA,42.33168000000006,-83.04799999999994,8.0,20.0,0.4
fossil_Philadelphia_USA,39.95222000000007,-75.16217999999998,19.0,32.0,0.59375
fossil_San_Jose_USA,37.33865000000003,-121.88542,30.0,42.0,0.7142857142857143
fossil_New_Delhi_India,28.63095000000004,77.21728000000007,69.0,104.0,0.6634615384615384
fossil_Cologne_Germany,50.94167000000004,6.955160000000035,174.0,407.0,0.4275184275184275
fossil_Houston_USA,29.76058000000006,-95.36967999999996,3.0,3.0,1.0
fossil_Jeddah_Saudi_Arabia,21.48172000000005,39.18279000000007,97.0,118.0,0.8220338983050848
fossil_Washington_DC_USA,38.89037000000008,-77.03195999999997,84.0,143.0,0.5874125874125874
fossil_Osaka_Japan,34.69372590900008,135.5021619520001,30.0,68.0,0.4411764705882353
fossil_Buenos_Aires_Argentina,-34.60848999999996,-58.37343999999996,92.0,147.0,0.6258503401360545
fossil_Mexico_City_Mexico,19.43194000000005,-99.13314999999994,136.0,174.0,0.7816091954022989
fossil_Shah_Alam_Malaysia,3.091980000000035,101.4942800000001,9.0,92.0,0.09782608695652174
fossil_Taipei_Taiwan,25.03737000000007,121.5635500000001,48.0,144.0,0.3333333333333333
fossil_Phoenix_USA,33.44825000000003,-112.0758,115.0,126.0,0.9126984126984127
fossil_Wuhan_China,30.64353000000006,114.3247200000001,74.0,166.0,0.4457831325301205
fossil_Hangzhou_China,30.29365000000007,120.16142,15.0,40.0,0.375
fossil_Toronto_Canada,43.64869000000004,-79.38543999999996,80.0,190.0,0.42105263157894735
fossil_Nanjing_China,32.06167000000005,118.77778,17.0,47.0,0.3617021276595745
fossil_Shenyang_China,41.79222000000004,123.4327800000001,61.0,124.0,0.49193548387096775
fossil_Melbourne_Australia,-37.81748999999996,144.9671500000001,95.0,147.0,0.6462585034013606
fossil_Shantou_China,23.36814000000004,116.7147900000001,34.0,72.0,0.4722222222222222
fossil_Madrid_Spain,40.42028000000005,-3.705769999999973,100.0,144.0,0.6944444444444444
fossil_Kolkata_India,22.57054000000005,88.37124000000006,33.0,73.0,0.4520547945205479
fossil_Pusan_South_Korea,35.31,129.0402800000001,32.0,78.0,0.41025641025641024
fossil_Sydney_Australia,-33.86959999999993,151.2069100000001,26.0,48.0,0.5416666666666666
fossil_Xian_China,34.27050000000003,108.92512,50.0,133.0,0.37593984962406013
fossil_Chengdu_China,30.67190000000005,104.0758000000001,49.0,112.0,0.4375
fossil_Huhot_China,25.76444000000004,118.54583,15.0,41.0,0.36585365853658536
fossil_Boston_USA,42.35866000000004,-71.05673999999993,50.0,117.0,0.42735042735042733
fossil_Baotou_China,40.65222000000006,109.8222200000001,147.0,202.0,0.7277227722772277
fossil_Taiyuan_China,37.88141000000007,112.54952,36.0,61.0,0.5901639344262295
fossil_Denver_USA,39.74001000000004,-104.99202,14.0,20.0,0.7
fossil_Athens_Greece,37.97614000000004,23.73640000000006,51.0,77.0,0.6623376623376623
fossil_Atlanta_USA,33.74831000000006,-84.39110999999997,71.0,104.0,0.6826923076923077
fossil_Seattle_USA,47.60357000000005,-122.32945,119.0,290.0,0.4103448275862069
fossil_Yinchuan_China,38.46662000000003,106.2652100000001,72.0,96.0,0.75
fossil_Sao_Paulo_Brazil,-23.56286999999998,-46.65467999999998,97.0,160.0,0.60625
fossil_Berlin_Germany,52.51604000000003,13.37691000000007,0.0,0.0,0.0
fossil_Minneapolis_USA,44.97902000000005,-93.26493999999997,24.0,50.0,0.48
fossil_Zhengzhou_China,34.75778000000003,113.6486100000001,30.0,70.0,0.42857142857142855
fossil_Chongqing_China,29.56278000000003,106.55278,26.0,108.0,0.24074074074074073
fossil_Doha_Qatar,25.29502000000008,51.51907000000006,93.0,107.0,0.8691588785046729
fossil_Mumbai_India,18.94017000000002,72.83486000000005,55.0,107.0,0.514018691588785
fossil_Ad_Damman_Saudi_Arabia,26.44041000000004,50.06027000000006,43.0,48.0,0.8958333333333334
fossil_Wenzhou_China,27.99942000000004,120.66682,24.0,77.0,0.3116883116883117
fossil_Quanzhou_China,24.91197000000005,118.5805200000001,9.0,25.0,0.36
fossil_Brisbane_Australia,-27.46843999999993,153.0233400000001,113.0,181.0,0.6243093922651933
fossil_Dalian_China,38.91222000000005,121.6022200000001,48.0,149.0,0.3221476510067114
fossil_Tel_Aviv-Yafo_Israel,32.08556000000004,34.78953000000007,66.0,79.0,0.8354430379746836
fossil_Milan_Italy,45.46796000000006,9.18178000000006,69.0,103.0,0.6699029126213593
fossil_Abu_Dhabi_UAE,24.46918000000005,54.37173000000007,31.0,38.0,0.8157894736842105
fossil_Ankara_Turkey,39.92109000000005,32.85391000000004,90.0,137.0,0.656934306569343
fossil_Qingdao_China,36.09861000000006,120.3719400000001,56.0,96.0,0.5833333333333334
fossil_Nagoya_Japan,35.18142047000003,136.906683388,6.0,14.0,0.42857142857142855
fossil_Montreal_Canada,45.51240000000007,-73.55468999999994,65.0,143.0,0.45454545454545453
fossil_St_Louis_USA,38.62775000000005,-90.19955999999996,25.0,47.0,0.5319148936170213
fossil_San_Diego_USA,32.71568000000008,-117.16171,45.0,55.0,0.8181818181818182
fossil_Jinan_China,36.66833000000003,116.9972200000001,11.0,24.0,0.4583333333333333
fossil_Santiago_Chile,-33.43721999999997,-70.65001999999998,138.0,188.0,0.7340425531914894
fossil_Rotterdam_Netherlands,51.92282000000006,4.478480000000047,27.0,93.0,0.2903225806451613
fossil_Cape_Town_South_Africa,-33.91908999999998,18.42198000000008,100.0,140.0,0.7142857142857143
fossil_Hyderabad_India,17.39487000000003,78.47076000000004,55.0,107.0,0.514018691588785
fossil_Ho_Chi_Minh_City_Vietnam,10.77822000000003,106.70322,47.0,176.0,0.26704545454545453
fossil_Barcelona_Spain,41.38804000000005,2.170010000000048,65.0,100.0,0.65
fossil_Baltimore_USA,39.29058000000003,-76.60925999999995,22.0,45.0,0.4888888888888889
fossil_Changchun_China,43.88415000000003,125.3036800000001,111.0,196.0,0.5663265306122449
fossil_Almaty_Kazakhstan,43.25066000000004,76.88814000000008,149.0,223.0,0.6681614349775785
fossil_Birmingham_UK,52.47891000000004,-1.905919999999981,0.0,0.0,0.0
fossil_Hefei_China,31.86389000000003,117.28083,11.0,23.0,0.4782608695652174
fossil_Shijiazhuang_China,38.04139000000004,114.4786100000001,6.0,9.0,0.6666666666666666
fossil_Harbin_China,45.75553000000008,126.6395100000001,104.0,187.0,0.5561497326203209
fossil_Cleveland_USA,41.50473000000005,-81.69073999999995,9.0,18.0,0.5
fossil_Fremantle_Australia,-32.04731999999996,115.75351,121.0,179.0,0.6759776536312849
fossil_Durban_South_Africa,-29.84704999999997,31.02590000000004,98.0,152.0,0.6447368421052632
fossil_Las_Vegas_USA,36.17193000000003,-115.14001,16.0,16.0,1.0
fossil_Lima_Peru,-12.04317999999995,-77.02823999999998,98.0,148.0,0.6621621621621622
fossil_Mashhad_Iran,36.31559000000004,59.56796000000003,147.0,174.0,0.8448275862068966
fossil_Kansas_City_USA,39.10344000000003,-94.58310999999998,36.0,63.0,0.5714285714285714
fossil_Guiyang_China,26.57242000000008,106.69473,45.0,138.0,0.32608695652173914
fossil_Chennai_India,13.08362000000005,80.28252000000003,55.0,108.0,0.5092592592592593
fossil_Caracas_Venezuela,10.48801000000003,-66.87918999999994,64.0,154.0,0.4155844155844156
fossil_Bangalore_India,12.96685000000002,77.58742000000007,63.0,143.0,0.4405594405594406
fossil_Orlando_USA,28.53823000000006,-81.37738999999993,64.0,101.0,0.6336633663366337
fossil_Baghdad_Iraq,33.34213000000005,44.39309000000003,121.0,148.0,0.8175675675675675
fossil_Sacramento_USA,38.57944000000003,-121.49085,58.0,74.0,0.7837837837837838
fossil_Bogota_Colombia,4.614960000000053,-74.06940999999995,33.0,139.0,0.23741007194244604
fossil_Taegu_South_Korea,35.87028000000004,128.5911100000001,9.0,31.0,0.2903225806451613
fossil_Urumqi_China,43.78787000000005,87.58627000000007,109.0,173.0,0.630057803468208
fossil_Vienna_Austria,48.20263000000006,16.36842000000007,57.0,124.0,0.4596774193548387
fossil_Manila_Philippines,14.58864000000005,120.98454,53.0,153.0,0.3464052287581699
fossil_Columbus_USA,39.96199000000007,-83.00274999999993,20.0,40.0,0.5
fossil_Esfahan_Iran,32.65722000000005,51.67761000000007,93.0,106.0,0.8773584905660378
fossil_Portland_USA,45.51179000000008,-122.67563,120.0,249.0,0.4819277108433735
fossil_Indianapolis_USA,39.76691000000005,-86.14995999999996,7.0,18.0,0.3888888888888889
fossil_Zibo_China,36.79056000000003,118.0633300000001,20.0,32.0,0.625
fossil_San_Antonio_USA,29.42458000000005,-98.49460999999997,55.0,85.0,0.6470588235294118
fossil_Taejon_South_Korea,36.08139000000006,127.1897200000001,4.0,7.0,0.5714285714285714
fossil_Chifeng_China,42.27207000000004,118.9549300000001,65.0,98.0,0.6632653061224489
